"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2248876","","","","0"
"2011","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2236197","","","","0"
"2012","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2197641","","","","0"
"2013","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2154873","","","","0"
"2014","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2118889","","","","0"
"2015","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2092961","","","","0"
"2016","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2083843","","","","0"
"2017","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2090598","","","","0"
"2018","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2106395","","","","0"
"2019","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2114650","","","","0"
"2020","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2100625","","","","0"
"2021","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2057224","","","","0"
"2022","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2125050","","","","0"
"1980","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2423888","","","","0"
"1981","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2476593","","","","0"
"1982","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2493838","","","","0"
"1983","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2507305","","","","0"
"1984","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2515313","","","","0"
"1985","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2500958","","","","0"
"1986","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2445325","","","","0"
"1987","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2362542","","","","0"
"1988","Canada","2016A000011124","Both sexes","20 to 24 years","Persons","249","units","0","v466758","1.1.31","2255935","","","","0"
